Microhabitat type;Replicate 1.1;Replicate 1.2;Replicate 1.3;Replicate 2.1;Replicate 2.2;Replicate 2.3;Replicate 3.1;Replicate 3.2;Replicate 3.3;Replicate 4.1;Replicate 4.2;Replicate 4.3;Replicate 5.1;Replicate 5.2;Replicate 5.3;Replicate 6.1;Replicate 6.2;Replicate 6.3
deadwood;3;2;1;4;7;3;1;2;3;;2;4;;;;;;
hole/crack;2;10;1;1;2;6;;1;;2;2;1;1;1;2;;;
ivy;;1;1;1;7;4;6;4;6;3;2;3;1;;;;;
nest;;;3;;;;;;;;;;;;1;;;
birdhouse;;16;;;;;;;;;;;1;;;;;
standing deadwood;;;;;;;;2;;;;;;;;;;
