Tree species 1.1;Circumference 1.1;DBH 1.1;Tree species 1.2;Circumference 1.2;DBH 1.2;Tree species 1.3;Circumference 1.3;DBH 1.3;Tree species 2.1;Circumference 2.1;DBH 2.1;Tree species 2.2;Circumference 2.2;DBH 2.2;Tree species 2.3;Circumference 2.3;DBH 2.3;Tree species 3.1;Circumference 3.1;DBH 3.1;Tree species 3.2;Circumference 3.2;DBH 3.2;Tree species 3.3;Circumference 3.3;DBH 3.3;Tree species 4.1;Circumference 4.1;DBH 4.1;Tree species 4.2;Circumference 4.2;DBH 4.2;Tree species 4.3;Circumference 4.3;DBH 4.3;Tree species 5.1;Circumference 5.1;DBH 5.1;Tree species 5.2;Circumference 5.2;DBH 5.2;Tree species 5.3;Circumference 5.3;DBH 5.3;Tree species 6.1;Circumference 6.1;Tree species 6.2;Circumference 6.2;Tree species 6.3;Circumference 6.3
;;;Aesculus hippocastanum;352;112.05;Acer pseudoplatanus;160;50.93;Carpinus betulus;82;26.1;Carpinus betulus;54;17.19;Aesculus hippocastanum;71;22.6;Fagus sylvatica;24;7.64;Acer pseudoplatanus;23;7.32;Fagus sylvatica;126;40.11;Acer pseudoplatanus;23;7.32;Fagus sylvatica;90;28.65;Carpinus betulus;26;8.28;Taxus baccata;83;26.42;Acer platanoides;293;93.26;Fraxinus excelsior;334;106.32;;;;;;
;;;Aesculus hippocastanum;360;114.59;;;;Fagus sylvatica;153;48.7;Pinus nigra;205;65.25;;;;Fagus sylvatica;180;57.3;Carpinus betulus;140;44.56;Fagus sylvatica;90;28.65;Fagus sylvatica;210;66.85;Fagus sylvatica;67;21.33;Fagus sylvatica;195;62.07;Pinus nigra;70;22.28;Tilia platyphyllos;148;47.11;Alnus spec.;31;9.87;;;;;;
;;;Tilia cordata;224;71.3;;;;Fagus sylvatica;108;34.38;Carpinus betulus;75;23.87;;;;Prunus avium;96;30.56;Carpinus betulus;29;9.23;Fagus sylvatica;134;42.65;Fraxinus excelsior;188;59.84;Fagus sylvatica;109;34.7;Fagus sylvatica;34;10.82;Tilia platyphyllos;170;54.11;Betula pendula;106;33.74;Alnus spec.;29.5;9.39;;;;;;
;;;;;;;;;Fagus sylvatica;169;53.79;Fagus sylvatica;76.5;24.35;;;;Fagus sylvatica;24;7.64;Carpinus betulus;89;28.33;Carpinus betulus;53;16.87;Acer campestre;31;9.87;Fagus sylvatica;49;15.6;Fagus sylvatica;179;56.98;Pinus nigra;222;70.66;Tilia cordata;145;46.15;Alnus spec.;33;10.5;;;;;;
;;;;;;;;;Fagus sylvatica;165;52.52;Pinus sylvestris;157;49.97;;;;Fraxinus excelsior;149;47.43;Fagus sylvatica;91;28.97;Fagus sylvatica;69;21.96;Larix decidua;213;67.8;Fagus sylvatica;59;18.78;Carpinus betulus;61;19.42;;;;;;;Quercus cerris;40;12.73;;;;;;
;;;;;;;;;Fagus sylvatica;213;67.8;Carpinus betulus;59;18.78;;;;Carpinus betulus;61;19.42;Fagus sylvatica;38;12.1;Sorbus torminalis;123;39.15;;;;Fagus sylvatica;114;36.29;Fagus sylvatica;202;64.3;;;;;;;;;;;;;;;
;;;;;;;;;Fagus sylvatica;159;50.61;Fagus sylvatica;185;58.89;;;;Fagus sylvatica;40;12.73;;;;Fagus sylvatica;79;25.15;;;;Fagus sylvatica;62;19.74;Carpinus betulus;30;9.55;;;;;;;;;;;;;;;
;;;;;;;;;;;;Ulmus glabra;25.5;8.12;;;;Carpinus betulus;47;14.96;;;;;;;;;;Fagus sylvatica;27;8.59;Fagus sylvatica;195;62.07;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Carpinus betulus;48;15.28;;;;;;;;;;Fagus sylvatica;89;28.33;Fagus sylvatica;41;13.05;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Carpinus betulus;57;18.14;;;;;;;;;;Fagus sylvatica;60;19.1;Fagus sylvatica;97;30.88;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Fagus sylvatica;114;36.29;;;;;;;;;;Fagus sylvatica;182;57.93;Quercus petraea;147;46.79;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Fraxinus excelsior;163;51.88;;;;;;;;;;Fagus sylvatica;69;21.96;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Carpinus betulus;36;11.46;;;;;;;;;;Fagus sylvatica;95;30.24;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fagus sylvatica;97;30.88;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fagus sylvatica;55;17.51;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fraxinus excelsior;123;39.15;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fagus sylvatica;87;27.69;;;;;;;;;;;;;;;;;;
